,Compagnie d'assurance,Date de création,Nom et Prénom Assuré /Raison Sociale,Immatriculation Véhicule assuré,Mode de gestion,Garantie impliquée,Chargé réparation,Marque,Réparateur,Expert,Compagnie adverse,Accord VR (Véhicule de remplacement),Agence,Agent,Cas de barème,Chargé acceptation,Code agence,Date Accident,Date acceptation,Date accord (SST),Date demande,Etape Dossier,Etat d'approbation,Immatriculation tiers,Montant total devis,Nom et Prénom tiers /Raison Sociale,Numero sinistre,Numéro de contrat,Point Choc,Position GA,SST,Nbr réclamations antérieures,Day Accident,Month Accident,Year Accident,Day demande,Month demande,Year demande,Retard reclamation,Fraud
20,8,85,301,932,3,3,2,32,0,23,2,0,13,13,6,1,41,118,185,364,86,15,0,495,338,41,925,93,58,1,4,0,25,7,0,29,7,0,45,1
21,8,258,769,761,3,3,0,18,69,29,12,0,13,13,1,1,41,110,187,628,86,16,0,671,439,145,924,837,4,1,1,0,18,6,0,29,7,0,7,0
22,6,10,905,97,3,3,0,31,69,29,0,2,35,36,6,1,20,319,839,827,234,11,0,19,878,266,923,869,70,1,0,0,1,3,0,2,3,0,1,0
23,6,230,670,286,3,3,0,40,69,29,11,2,35,36,5,1,20,308,94,827,228,8,0,258,478,330,922,216,68,1,0,0,21,2,0,22,3,0,45,0
24,6,298,651,545,3,3,0,18,69,29,1,0,62,63,14,1,88,286,352,329,211,16,0,383,842,523,921,692,71,1,1,1,27,2,0,29,2,0,22,0
25,1,155,798,99,1,1,5,23,10,18,5,2,67,67,13,1,48,196,839,827,141,11,0,259,878,892,920,293,73,1,0,0,18,9,0,24,9,0,54,0
26,8,362,955,630,1,5,5,6,59,1,16,0,35,36,16,1,20,190,616,209,137,16,0,509,200,645,919,216,59,1,1,1,10,9,0,16,9,0,54,0
27,8,368,540,911,3,3,0,32,69,29,0,0,35,36,16,1,20,187,515,90,137,16,0,373,826,666,918,266,38,1,1,0,7,9,0,16,9,0,70,0
28,7,351,468,589,2,3,7,14,56,14,2,0,89,89,1,1,2,102,757,674,76,16,0,11,135,180,917,323,30,1,4,0,9,6,0,14,6,0,45,0
29,8,121,328,35,1,2,0,23,69,29,1,2,16,17,5,0,33,7,839,827,8,10,0,918,878,784,916,653,30,1,0,0,30,0,0,8,0,0,70,1
30,8,42,174,159,1,5,0,6,69,29,1,2,67,67,9,0,48,49,839,827,37,10,0,21,878,836,915,429,23,1,0,0,14,4,0,18,4,0,45,1
31,8,117,74,818,2,3,0,10,69,29,2,2,56,56,1,1,13,91,839,827,121,10,0,387,878,475,914,926,71,1,0,0,27,6,0,20,8,0,72,1
32,8,56,61,548,3,3,5,6,26,28,10,2,56,56,1,1,13,71,839,827,56,3,0,133,692,429,913,134,59,1,0,0,8,5,0,14,5,0,54,1
33,8,98,606,961,3,3,5,40,48,28,2,0,56,56,0,1,13,69,646,84,56,16,0,683,244,128,912,674,4,1,1,0,6,5,0,14,5,0,65,0
34,8,422,427,473,3,3,0,31,69,29,3,0,56,56,1,1,13,73,11,627,60,16,0,973,109,501,1095,842,74,1,1,0,10,5,0,20,5,0,73,0
35,8,137,236,925,3,3,6,32,31,6,10,0,56,56,4,1,13,73,534,627,55,16,0,167,57,282,911,842,59,1,1,0,10,5,0,13,5,0,22,0
36,8,45,182,440,3,3,5,31,26,1,10,2,56,56,19,0,13,64,367,827,51,4,0,104,878,214,910,166,38,0,0,0,1,5,0,5,5,0,45,0
37,8,140,237,1014,3,3,0,32,69,29,1,0,59,59,0,1,42,61,366,562,51,16,0,854,444,225,1094,912,4,1,1,0,28,5,0,5,5,0,65,0
38,8,72,270,994,3,3,0,40,69,29,2,0,56,56,0,1,13,56,287,484,49,16,0,732,431,341,909,84,4,1,1,0,11,5,0,3,5,0,2,0
39,5,205,564,1034,3,3,6,6,31,23,1,0,59,59,19,1,42,50,668,651,37,16,0,976,746,962,908,608,13,0,1,1,15,4,0,18,4,0,35,0
40,5,60,566,616,1,1,2,37,8,4,16,2,56,56,4,1,13,28,839,827,36,11,0,736,878,290,907,648,59,1,0,0,0,4,0,17,4,0,27,0
41,5,47,421,809,1,1,7,18,14,5,16,0,56,56,11,0,13,34,506,111,32,16,0,522,634,656,906,85,5,1,1,0,28,4,0,12,4,0,8,1
42,5,101,866,531,1,1,8,13,57,19,11,2,56,56,4,0,13,41,750,736,30,6,0,207,713,0,905,71,43,1,1,0,5,4,0,9,4,0,45,0
43,5,89,143,725,1,1,7,39,4,10,16,2,56,56,1,1,13,329,839,827,246,1,3,411,878,119,904,626,59,1,0,0,15,3,0,19,3,0,45,0
44,5,42,397,1045,3,3,2,7,69,29,13,2,56,56,1,1,13,330,839,827,245,1,3,824,878,96,903,105,54,1,0,0,16,3,0,18,3,0,22,1
45,5,49,378,580,3,3,0,4,69,29,10,2,56,56,18,1,13,38,839,783,117,10,0,209,70,958,902,284,59,1,1,0,2,4,0,16,8,0,10,1
46,5,377,200,871,1,1,7,11,54,14,16,2,56,56,1,1,13,305,327,328,227,9,0,626,679,4,901,804,4,1,1,0,18,2,0,11,3,0,60,0
47,5,50,892,500,3,3,0,7,69,29,7,2,68,68,18,1,84,289,519,670,213,6,0,782,564,470,1093,806,70,1,1,0,30,2,0,3,2,0,35,1
48,5,56,914,263,3,3,0,18,69,29,13,2,56,56,0,1,13,284,839,827,209,10,0,731,878,747,900,876,4,1,0,1,25,2,0,27,2,0,22,1
49,8,273,395,795,2,3,8,17,57,11,7,0,59,59,19,1,42,257,622,303,200,9,0,976,344,962,1092,608,30,0,1,0,27,1,0,16,1,0,20,0
50,5,45,622,943,1,1,0,40,69,29,16,2,56,56,18,1,13,265,839,827,196,10,0,576,271,556,899,84,59,1,0,0,6,1,0,9,1,0,35,0
51,5,62,84,246,1,0,3,10,61,29,16,0,56,56,19,1,13,24,503,558,32,16,0,902,814,72,898,309,71,0,4,0,20,0,0,12,4,0,26,0
52,5,62,440,228,1,2,6,40,31,4,0,2,56,56,8,0,13,27,839,827,26,10,0,206,878,738,897,844,73,1,0,0,24,0,0,3,4,0,7,0
53,5,101,918,742,3,3,7,6,41,15,14,2,56,56,1,2,13,31,839,827,24,10,0,677,878,828,896,100,4,1,0,0,25,4,0,30,4,0,54,0
54,5,108,67,510,1,1,0,12,69,29,16,0,59,59,4,1,42,256,219,429,189,16,0,588,542,394,854,9,70,1,1,0,26,1,0,30,1,0,45,0
55,5,282,806,1009,1,1,7,39,14,5,16,2,59,59,19,1,42,246,218,463,182,9,0,976,56,962,895,3,30,0,1,3,14,11,0,23,11,0,70,0
56,5,299,806,1009,1,1,7,39,14,5,16,2,56,56,0,1,13,243,68,610,180,9,0,103,532,331,894,213,30,0,1,3,9,11,0,18,11,0,70,0
57,5,71,794,1024,3,3,0,39,69,29,13,0,56,56,1,1,13,242,161,231,176,16,0,154,827,269,893,804,45,1,4,0,8,11,0,12,11,0,35,1
58,5,292,593,434,1,1,6,10,37,6,1,0,56,56,18,1,13,25,76,240,20,16,0,599,102,749,892,161,70,1,4,0,21,0,0,25,4,0,60,1
59,5,91,759,76,3,3,2,40,33,22,0,2,59,59,15,1,42,229,839,827,175,10,0,450,878,147,891,13,64,1,0,0,11,11,0,10,11,0,19,0
60,5,75,28,931,1,1,0,31,69,29,16,0,56,56,1,1,13,217,783,122,160,16,0,12,434,876,890,842,30,1,4,0,12,10,0,21,10,0,73,0
61,5,81,533,824,3,3,5,40,49,28,1,0,56,56,19,1,13,216,516,151,152,16,0,976,770,962,889,679,70,0,1,0,10,10,0,12,10,0,1,1
62,5,100,405,894,3,3,0,7,69,29,14,0,56,56,1,1,13,193,216,465,138,16,0,460,712,213,888,296,59,1,1,0,15,9,0,18,9,0,35,1
63,5,75,47,417,3,3,7,15,4,14,1,0,56,56,14,0,13,20,770,105,15,16,0,553,112,462,887,626,54,1,1,0,15,0,0,20,0,0,54,0
64,5,78,880,237,3,3,5,40,48,28,1,0,56,56,14,1,13,170,86,603,125,16,0,101,142,691,886,911,38,1,1,0,19,8,0,25,9,0,65,0
65,5,239,127,800,3,3,5,32,59,28,6,0,56,56,19,1,13,160,85,256,125,16,0,472,413,650,885,577,30,0,4,0,8,8,0,25,9,0,19,1
66,5,125,786,296,3,3,8,14,53,25,1,0,56,56,4,1,13,158,839,461,117,10,0,365,395,66,884,284,68,1,1,0,6,8,0,16,8,0,73,0
67,5,111,1033,787,3,3,5,23,42,1,2,0,56,56,5,1,13,150,539,206,116,16,0,661,188,143,883,485,4,1,1,0,28,8,0,13,8,0,11,0
68,5,114,457,291,1,2,5,36,34,28,7,0,56,56,6,1,13,149,197,371,181,16,0,150,513,364,882,327,73,1,4,0,27,8,0,19,11,0,6,0
69,5,123,1016,984,3,3,1,18,39,23,2,0,11,11,16,1,18,137,487,390,102,16,0,830,160,79,855,835,64,1,1,1,15,7,0,21,7,0,60,0
70,5,121,870,765,3,3,1,18,39,22,0,0,56,56,0,1,13,130,775,657,101,16,0,459,477,599,881,155,4,1,1,0,7,7,0,20,7,0,7,0
71,5,162,732,485,3,3,0,6,69,29,2,0,56,56,18,1,13,131,777,451,101,16,0,504,303,654,880,668,46,1,4,1,8,7,0,20,7,0,5,0
72,5,187,778,770,3,3,0,24,69,29,2,2,56,56,1,1,13,116,839,827,87,3,0,409,740,527,1091,505,46,1,0,1,11,7,0,30,7,0,65,0
73,5,132,254,970,1,1,1,18,39,4,16,0,56,56,1,1,13,109,34,386,83,16,0,642,846,58,879,509,45,1,4,0,17,6,0,11,7,0,65,0
74,5,142,1001,821,3,3,0,39,69,29,1,2,56,56,19,1,13,112,839,827,82,10,0,976,878,962,878,760,0,0,0,0,20,6,0,23,6,0,22,0
75,5,134,732,485,3,3,6,6,31,4,14,2,56,56,0,1,13,107,839,306,83,10,0,531,445,279,877,241,4,1,1,1,15,6,0,11,7,0,73,0
76,5,136,1016,984,1,1,1,18,39,23,1,0,56,56,11,1,13,10,0,181,14,16,0,767,531,610,876,475,27,1,1,1,3,0,0,17,0,0,8,0
77,5,139,21,125,1,0,3,32,59,29,16,2,56,56,11,1,13,103,839,827,82,10,0,363,878,612,875,673,5,1,0,0,10,6,0,23,6,0,5,0
78,5,145,439,586,3,3,6,10,65,11,2,0,56,56,19,1,13,13,549,763,10,16,0,976,28,962,874,799,30,0,1,0,7,0,0,13,0,0,54,0
79,5,143,648,36,1,0,3,31,40,29,16,2,88,88,0,1,0,65,839,827,51,13,0,232,878,430,873,548,30,1,0,0,2,5,0,5,5,0,35,0
80,5,341,541,643,3,3,6,29,69,29,10,2,11,11,1,1,18,329,702,827,245,4,0,598,878,479,872,565,30,1,0,0,15,3,0,18,3,0,35,0
81,5,160,450,571,3,3,8,8,57,4,7,0,56,56,10,1,13,329,629,693,243,16,0,775,224,325,871,727,51,1,2,0,15,3,0,16,3,0,1,1
82,5,158,976,798,2,3,8,5,57,6,1,2,11,11,16,1,18,326,701,827,245,5,0,275,325,142,870,995,70,1,0,0,10,3,0,18,3,0,65,0
83,5,166,601,187,3,3,6,31,7,21,12,0,56,56,19,1,13,295,497,688,218,16,0,976,673,962,869,894,64,0,1,0,6,2,0,10,2,0,45,0
84,5,177,56,484,3,3,6,10,65,21,14,0,11,11,18,1,18,259,271,782,190,16,0,549,409,393,868,972,70,1,1,0,30,1,0,1,1,0,1,0
85,5,166,423,330,3,3,7,5,14,5,0,0,56,56,4,1,13,252,195,428,184,16,0,30,579,402,867,782,74,1,4,0,23,11,0,11,1,0,22,1
86,5,169,736,903,1,0,3,18,67,29,16,0,56,56,1,1,13,224,267,426,166,16,0,429,789,684,866,743,59,1,4,0,20,10,0,27,11,0,73,0
87,5,176,680,231,3,3,0,40,69,29,2,2,11,11,6,1,18,188,839,638,182,9,0,925,60,670,865,746,70,1,1,0,8,9,0,23,11,0,69,1
88,5,183,925,457,1,1,3,6,14,5,16,0,56,56,4,1,13,183,453,778,134,16,0,827,216,150,864,827,58,1,4,0,2,9,0,9,9,0,65,0
89,5,178,584,365,3,3,6,10,65,11,2,0,42,42,0,1,44,179,192,18,127,16,0,812,480,338,863,525,4,1,4,0,28,9,0,29,9,0,1,0
90,5,182,170,472,3,3,0,10,69,29,13,0,56,56,5,1,13,149,313,517,110,16,0,874,484,264,862,472,42,1,1,0,27,8,0,4,8,0,65,0
91,5,282,806,1009,1,1,7,39,14,5,16,0,56,56,4,1,13,118,242,572,87,16,0,480,541,906,861,48,64,1,1,3,25,7,0,30,7,0,54,0
92,5,212,685,273,1,1,3,33,24,27,16,0,56,56,0,1,13,93,421,620,73,16,0,725,792,483,860,201,4,1,1,0,29,6,0,8,6,0,73,0
93,5,207,1021,423,3,3,7,29,14,5,2,0,66,66,5,1,67,66,642,62,57,16,0,422,153,781,1090,127,70,1,1,0,3,5,0,17,5,0,8,0
94,5,196,934,722,3,3,0,31,69,29,2,0,66,66,15,0,67,63,333,13,51,16,0,810,404,573,859,367,30,1,1,0,30,5,0,5,5,0,54,0
95,5,195,778,770,1,0,3,24,61,29,16,2,56,56,0,1,13,48,839,827,56,10,0,526,878,629,858,294,4,1,0,1,13,4,0,14,5,0,34,0
96,5,212,188,541,3,3,5,40,49,28,0,0,56,56,1,2,13,5,253,2,4,16,0,78,346,732,857,411,74,1,1,0,28,0,0,2,0,0,45,0
97,5,221,966,647,3,3,5,40,48,28,15,2,56,56,19,1,13,43,839,827,32,10,0,976,878,962,856,526,30,0,0,0,7,4,0,12,4,0,45,1
98,5,229,855,905,3,3,5,6,1,1,2,0,56,56,4,1,13,176,452,149,134,16,0,183,311,519,853,576,68,1,1,0,25,9,0,9,9,0,11,0
99,5,229,776,362,1,2,5,23,12,28,1,0,75,75,0,1,36,70,529,703,55,16,0,931,33,270,1089,25,54,1,3,0,7,5,0,13,5,0,54,0
100,5,231,564,1034,1,1,6,6,31,23,10,0,36,37,19,1,63,91,288,163,70,16,0,93,784,365,852,270,46,0,1,1,27,6,0,3,6,0,60,0
101,5,248,129,888,1,1,1,40,36,25,2,0,75,75,4,1,36,11,523,760,10,16,0,457,829,608,851,886,54,1,1,0,4,0,0,13,0,0,70,0
102,5,245,836,431,3,3,5,6,26,1,12,0,22,23,11,1,38,88,585,540,73,16,0,440,725,97,850,237,5,1,1,0,22,6,0,8,6,0,11,0
103,5,252,950,990,1,1,8,5,57,23,13,0,75,75,19,1,36,82,104,204,65,16,0,976,190,962,849,726,30,0,1,0,20,5,0,25,6,0,65,0
104,5,244,1026,38,1,0,3,16,44,29,16,2,93,93,1,1,17,12,839,792,11,10,0,235,211,695,1088,244,23,1,1,0,6,0,0,14,0,0,65,0
105,5,244,63,889,1,0,3,31,41,29,16,2,81,81,18,1,32,74,839,827,62,4,0,688,878,724,848,449,70,1,0,0,12,5,0,0,6,0,7,0
106,5,254,31,383,3,3,5,4,49,1,7,0,75,75,1,0,36,52,749,140,39,16,0,704,131,115,847,435,70,1,4,0,18,4,0,20,4,0,22,1
107,5,270,376,656,3,3,5,10,34,28,11,0,93,93,15,0,17,55,370,479,52,16,0,425,787,357,846,189,20,1,4,0,0,5,0,6,5,0,11,0
108,5,265,43,572,3,3,7,32,47,27,10,0,22,23,4,0,38,67,180,411,52,16,0,247,16,830,845,285,64,1,1,0,4,5,0,6,5,0,22,0
109,5,305,103,667,1,1,5,3,57,22,5,0,39,40,19,1,40,51,99,85,42,16,0,976,285,962,844,255,46,0,1,0,17,4,0,26,5,0,70,0
110,5,298,806,1009,1,1,0,39,69,29,16,2,93,93,4,0,17,6,839,827,5,10,0,928,878,793,843,865,44,1,0,3,29,0,0,5,0,0,60,0
111,5,324,146,1002,1,1,6,31,7,25,12,0,93,93,1,0,17,50,711,11,37,16,0,837,601,303,842,150,30,1,3,0,15,4,0,18,4,0,35,0
112,5,280,914,263,1,1,1,18,39,23,1,0,75,75,1,0,36,33,639,381,36,16,0,222,658,561,841,2,42,1,1,1,27,4,0,17,4,0,21,0
113,5,287,366,414,1,1,7,29,38,15,10,0,93,93,16,1,17,35,449,523,74,16,0,535,778,438,840,185,59,1,1,0,29,4,0,9,6,0,64,0
114,5,290,634,1007,3,3,1,15,31,11,13,0,93,93,4,0,17,39,556,82,30,16,0,657,193,248,839,433,30,1,1,1,3,4,0,9,4,0,60,0
115,5,312,168,555,3,3,6,31,7,11,1,2,75,75,11,1,36,318,839,827,237,11,0,515,878,782,838,954,59,1,0,0,30,3,0,7,3,0,65,0
116,5,291,886,507,3,3,1,6,31,11,3,0,75,75,1,1,36,321,304,431,235,16,0,861,316,99,837,112,70,1,4,0,3,3,0,3,3,0,0,0
117,5,309,358,909,3,3,1,18,39,19,3,0,75,75,15,1,36,313,125,236,229,16,0,441,514,130,836,859,70,1,1,0,25,3,0,25,3,0,0,0
118,5,317,984,627,1,1,6,32,6,19,16,2,22,23,4,1,38,282,839,827,214,11,0,778,878,878,1087,452,68,0,0,0,11,2,0,4,2,0,5,0
119,5,303,273,193,3,3,7,10,14,5,2,2,75,75,19,0,36,34,839,827,33,10,0,267,878,694,835,868,30,0,0,0,28,4,0,13,4,0,11,0
120,5,332,654,878,3,3,0,22,69,29,2,0,22,23,19,1,38,275,827,471,204,16,0,976,209,962,834,6,2,0,1,0,18,1,0,23,1,0,45,0
121,5,315,629,988,1,1,5,24,22,28,16,0,75,75,4,1,36,273,787,154,203,16,0,801,776,524,1086,514,30,1,1,0,16,1,0,21,1,0,54,0
122,5,306,597,636,1,1,0,22,69,29,13,2,75,75,1,1,36,271,839,827,201,8,0,966,324,403,833,853,64,1,0,0,14,1,0,17,1,0,35,0
123,5,315,791,443,1,1,5,18,43,1,16,0,75,75,1,1,36,251,160,585,185,16,0,744,495,946,832,628,73,1,4,0,21,11,0,22,1,0,45,0
124,5,315,810,626,3,3,8,27,57,19,2,0,75,75,1,1,36,244,518,808,176,16,0,233,249,474,831,430,70,1,1,0,10,11,0,12,11,0,1,0
125,5,343,656,604,3,3,0,7,69,29,10,2,88,88,0,1,0,235,839,827,173,10,0,942,878,887,830,962,5,1,0,0,29,11,0,8,11,0,73,1
126,5,352,241,156,1,1,1,6,31,20,16,2,88,88,0,1,0,235,839,827,173,10,0,53,878,942,829,98,5,1,0,0,29,11,0,8,11,0,73,0
127,5,319,337,299,1,1,6,31,58,19,3,0,75,75,4,1,36,231,268,315,169,16,0,74,165,327,1085,112,54,1,1,0,25,11,0,2,11,0,65,0
128,5,318,194,255,1,1,5,14,48,28,16,0,75,75,15,1,36,227,112,258,165,16,0,29,297,721,828,864,70,1,1,0,24,10,0,26,11,0,54,0
129,5,355,192,285,1,1,7,33,14,5,8,0,75,75,1,1,36,228,113,425,165,16,0,348,86,309,827,584,64,1,1,0,0,11,0,26,11,0,45,0
130,5,326,230,885,1,1,6,32,33,25,16,0,93,93,15,2,17,26,1,482,18,16,0,574,242,418,826,425,64,1,1,0,23,0,0,24,0,0,1,1
131,5,348,579,56,1,1,6,31,33,3,10,0,75,75,1,1,36,217,687,45,155,16,0,99,561,22,825,441,54,1,4,0,12,10,0,15,10,0,35,0
132,5,348,989,402,3,3,8,3,69,29,12,2,23,24,19,2,76,211,466,330,215,9,0,676,267,886,824,769,30,0,1,0,5,10,0,5,2,0,74,0
133,5,335,506,559,3,3,8,33,30,23,13,2,75,75,6,1,36,207,839,827,155,4,0,456,878,667,1084,932,64,1,0,0,30,10,0,15,10,0,11,0
134,5,372,689,435,3,3,8,18,28,3,14,0,75,75,1,1,36,192,685,821,138,16,0,244,538,919,823,920,4,1,1,0,14,9,0,18,9,0,45,1
135,5,346,992,629,1,1,5,40,49,28,2,2,93,93,5,2,17,23,839,827,16,8,0,960,597,68,822,862,64,1,0,0,18,0,0,21,0,0,35,0
136,5,348,36,764,1,1,1,5,31,20,10,0,75,75,19,1,36,188,780,232,139,16,0,976,87,962,1083,913,64,0,1,0,8,9,0,21,9,0,7,0
137,5,354,1014,175,3,3,1,27,31,20,1,0,8,8,19,1,56,188,213,400,146,16,0,976,530,962,821,467,65,0,1,0,8,9,0,29,10,0,25,1
138,5,374,688,850,3,3,5,18,43,28,1,0,75,75,10,1,36,178,688,44,156,16,0,276,663,162,820,363,51,1,2,0,27,9,0,16,10,0,53,0
139,5,367,904,411,1,0,0,40,69,29,16,0,75,75,19,1,36,183,379,38,132,16,0,976,655,962,819,711,38,0,1,0,2,9,0,6,9,0,45,0
140,5,368,681,579,3,3,0,3,69,29,5,0,75,75,19,1,36,170,36,289,123,16,0,976,801,962,818,564,45,0,1,0,19,8,0,11,9,0,54,0
141,5,379,734,424,3,3,1,30,31,3,2,0,75,75,19,1,36,169,193,194,122,16,0,940,747,679,817,379,4,0,3,0,18,8,0,0,9,0,54,0
142,5,378,642,1000,3,3,5,32,42,28,0,0,75,75,1,1,36,164,108,714,118,16,0,591,516,56,816,895,70,1,4,0,13,8,0,17,8,0,45,1
143,5,378,607,640,3,3,6,31,7,3,13,0,93,93,5,1,17,155,511,369,115,16,0,883,290,941,748,476,5,1,1,0,3,8,0,12,8,0,70,0
144,5,382,600,1004,3,3,5,31,59,28,1,0,21,22,0,1,26,151,345,546,111,16,0,957,400,277,815,47,4,1,4,0,29,8,0,5,8,0,60,0
145,5,384,319,933,3,3,8,40,57,20,12,0,80,80,6,1,80,18,795,176,17,16,0,327,416,302,814,483,64,1,1,0,13,0,0,23,0,0,73,0
146,5,398,699,766,3,3,5,6,1,28,7,0,75,75,19,1,36,16,553,759,11,16,0,976,858,962,813,649,76,0,1,0,10,0,0,14,0,0,35,1
147,5,404,338,543,1,1,9,10,37,3,10,0,75,75,19,1,36,14,551,134,11,16,0,976,524,962,812,369,46,0,1,0,8,0,0,14,0,0,54,1
148,5,409,738,724,1,1,9,32,69,29,10,0,78,77,15,1,21,136,715,798,100,16,0,452,433,743,811,573,64,1,1,0,14,7,0,19,7,0,54,0
149,5,411,595,642,3,3,9,32,6,3,2,0,75,75,1,1,36,16,581,441,12,16,0,618,506,366,810,667,70,1,1,0,10,0,0,15,0,0,45,1
150,5,410,691,93,3,3,8,14,53,20,2,0,75,75,1,1,36,126,426,796,93,16,0,893,836,304,809,609,55,1,1,0,3,7,0,8,7,0,54,0
151,5,419,124,849,1,1,1,40,36,3,0,0,75,75,1,1,36,118,404,391,91,16,0,881,728,687,808,391,30,1,1,0,25,7,0,6,7,0,5,0
152,5,12,166,282,2,3,8,40,57,20,10,0,93,93,0,1,17,113,311,543,89,15,0,398,61,477,807,117,4,1,4,0,21,6,0,4,7,0,11,0
153,5,426,744,346,3,3,1,15,69,29,0,0,78,77,19,1,21,113,802,547,82,16,0,454,363,78,806,537,30,0,1,0,21,6,0,23,6,0,1,0
154,5,430,630,302,3,3,1,11,31,3,1,0,21,22,19,1,26,15,633,3,14,16,0,976,661,962,805,454,64,0,4,0,9,0,0,17,0,0,65,1
155,5,427,612,601,3,3,0,10,69,29,1,0,75,75,14,1,36,107,800,160,80,16,0,142,496,896,804,916,59,1,1,0,15,6,0,18,6,0,35,1
156,5,34,632,12,3,3,5,18,43,1,2,0,78,77,18,1,21,15,547,537,11,16,0,435,870,324,803,448,30,1,1,0,9,0,0,14,0,0,45,0
157,5,35,17,927,3,3,0,40,69,29,12,0,75,75,19,1,36,100,32,452,83,16,0,844,822,664,1082,669,30,0,1,0,6,6,0,11,7,0,19,1
158,5,36,521,158,3,3,1,32,35,8,13,2,75,75,10,1,36,97,604,201,78,7,0,84,586,294,1081,339,51,1,2,0,3,6,0,16,6,0,7,0
159,5,441,983,540,3,3,1,22,20,17,1,0,78,77,19,2,21,11,442,439,9,16,0,176,97,444,802,855,30,0,1,0,4,0,0,9,0,0,54,0
160,5,31,244,830,3,3,0,32,69,29,7,0,80,80,1,1,80,69,773,58,61,16,0,453,627,31,801,106,70,1,4,0,6,5,0,21,5,0,11,0
161,8,271,928,657,1,5,0,40,69,29,16,0,80,80,0,1,80,123,310,370,89,6,0,516,356,454,1080,940,4,1,1,0,30,7,0,4,7,0,45,0
